name,geometry,@id,direction
(၃၁) ဂိတ်/(၁) ဂိတ် မှတ်တိုင်,POINT (96.1943035 16.8489823),node/4840901540,E; east; north; outboundinbound
(၃၁) ဂိတ်/(၁) ဂိတ် မှတ်တိုင်,POINT (96.194037 16.8488685),node/4840901541,E; outbound; outboundinbound; south; southeast
(၃၅) ကွေ့ မှတ်တိုင်,POINT (96.187015 16.868125),node/4840917590,Northeast; S; north; north east; outbound
(၃၅) ကွေ့ မှတ်တိုင်,POINT (96.1871689 16.8682897),node/4840917591,S; Southwest; north east; outbound; south
(၃၆) ဂိတ်ဟောင်း မှတ်တိုင်,POINT (96.2156523 16.8920228),node/4836223395,south
(၃၆) ဂိတ်ဟောင်း မှတ်တိုင်,POINT (96.2157197 16.8919081),node/4836223396,north
(၄၆) လမ်း မှတ်တိုင်,POINT (96.168162 16.7788808),node/4885081124,southeast
(၅၀) ကွေ့ မှတ်တိုင်,POINT (96.1870371 16.9084808),node/4854982577,E; north east
(၅၀) ကွေ့ မှတ်တိုင်,POINT (96.1868452 16.9086665),node/4854982578,W
(၅၀) ကွေ့ မှတ်တိုင်,POINT (96.1869533 16.9088301),node/4896971863,north east
(၅၄) သမ မှတ်တိုင်,POINT (96.2451862 16.8597415),node/4841292886,outbound; outboundinbound
(၅၄) သမ မှတ်တိုင်,POINT (96.2451156 16.8597959),node/4841292887,inbound; outboundinbound
(၅၆) မှတ်တိုင်,POINT (96.2463694 16.8611029),node/4841295522,outbound; outboundinbound
(၅၆) မှတ်တိုင်,POINT (96.2464345 16.8612712),node/4841295523,inbound; outboundinbound
(၆) ကွေ့ မှတ်တိုင်,POINT (96.1633889 16.9190533),node/4911993823,south; west
(၆) ထပ် ရုံး မှတ်တိုင်,POINT (96.1577997 16.77079),node/4840952639,Outbound; outbound
(၆) ထပ် ရုံး မှတ်တိုင်,POINT (96.1567395 16.7709483),node/4840994118,Inbound
(၆) လမ်း မှတ်တိုင်,POINT (96.1777027 16.8691995),node/4868983193,E; outbound
(၆) လမ်း မှတ်တိုင်,POINT (96.1779078 16.8691142),node/4868984987,E; east
(၆) လမ်း မှတ်တိုင်,POINT (96.1479687 16.9706204),node/5087889322,N; north; west
(၆) လမ်း မှတ်တိုင်,POINT (96.1477653 16.9708093),node/5202084628,east; inbound; south
(၇) ဈေး မှတ်တိုင်,POINT (96.2057844 16.7986853),node/4840900245,E; east; south
(၇/၈) လမ်းဆုံ မှတ်တိုင်,POINT (96.1962716 16.8921264),node/4840951713,S; north east; northwest
(၇/၈) လမ်းဆုံ မှတ်တိုင်,POINT (96.1969318 16.8911479),node/4868950547,E; Northeast; S; east; north; northeast; south
(၇/၈) လမ်းဆုံ မှတ်တိုင်,POINT (96.1959829 16.8922538),node/4868975950,S; east; north east; southeast
(၇/၈) လမ်းဆုံ မှတ်တိုင်,POINT (96.1964957 16.8919754),node/4869137038,E; Southwest; inbound; north; outbound; south
(၇/၈) လမ်းဆုံ မှတ်တိုင်,POINT (96.1967789 16.8912527),node/6135367692,S; north east; northwest
(၇၀/၇၁) ဈေး မှတ်တိုင်,POINT (96.2547319 16.8706545),node/4841306879,outbound
(၇၀/၇၁) ဈေး မှတ်တိုင်,POINT (96.2546931 16.8705553),node/4841306880,inbound; outboundinbound
(၇၀/၇၁) ဈေး မှတ်တိုင်,POINT (96.2548636 16.8707225),node/4896759826,inbound
(၇၀/၇၁) ဈေး မှတ်တိုင်,POINT (96.2547557 16.8705409),node/4896759827,outbound; outboundinbound
(၈၉) ကွေ့ မှတ်တိုင်,POINT (96.2797538 16.8423909),node/4877198779,
(၈၉) ကွေ့ မှတ်တိုင်,POINT (96.2796787 16.8424346),node/4877198780,
(၉) ဂိတ်ဟောင်း မှတ်တိုင်,POINT (96.1197375 17.0518757),node/4875592427,Outbound; outbound
(၉) ဂိတ်ဟောင်း မှတ်တိုင်,POINT (96.1196029 17.0519405),node/4875592428,Inbound; inbound
(၉) ထပ်ကြီး မှတ်တိုင်,POINT (96.1281033 16.8037776),node/4836308067,E; east; south; southeast
(၉) ထပ်ကြီး မှတ်တိုင်,POINT (96.1281444 16.8038604),node/4836308068,E; north; southeast; west
(၉) လမ်း မှတ်တိုင်,POINT (96.1850223 16.7923767),node/4836362109,S; inbound; south
(၉) လမ်း မှတ်တိုင်,POINT (96.1851176 16.7923238),node/4836362110,Outbound; S; north
(ဏ) ကွေ့ မှတ်တိုင်,POINT (96.0712582 16.983014),node/4873345776,east; north; northeast; southwest
(ဏ) ကွေ့ မှတ်တိုင်,POINT (96.0711757 16.9830062),node/4873345777,Intbound; northeast; south; southeast; southwest; west
၀ပ်ရှော့ မှတ်တိုင်,POINT (96.1146744 16.8912392),node/4896578294,Inbound; OUTBOUND; outbound; outboundinbound; south
၀ပ်ရှော့ မှတ်တိုင်,POINT (96.114689 16.8911081),node/4896578295,INBOUND; Outbound; north; outbound; outboundinbound
၀ပ်ရှော့ မှတ်တိုင်,POINT (96.1097108 16.8893578),node/5136927922,Inbound; OUTBOUND; outbound; outboundinbound; south
၁၀၅ ဈေး မှတ်တိုင်,POINT (96.2670414 16.8758697),node/5903076925,outbound
၁၀၅ ဈေး မှတ်တိုင်,POINT (96.2670967 16.8758249),node/5903076926,outbound
၁၂သမ မှတ်တိုင်,POINT (96.0362457 16.8822895),node/4836233516,East; Outbound; north; northeast
၁၂သမ မှတ်တိုင်,POINT (96.0361759 16.882445),node/4836233517,inbound; south; southwest; west
၁၃ဈေး မှတ်တိုင်,POINT (96.1902454 16.8474276),node/5118747122,north
၁၃ဈေး မှတ်တိုင်,POINT (96.1901956 16.8474996),node/5127707366,south
၁၄လမ်းဆုံ မှတ်တိုင်,POINT (96.086736 16.9370904),node/5170890433,Intbound; south; southwest
၁၄လမ်းဆုံ မှတ်တိုင်,POINT (96.0869457 16.9371139),node/5170890434,north; northeast
၁၆ ကွေ့ မှတ်တိုင်,POINT (96.1775405 16.8346417),node/5767411279,
၁၆ ကွေ့ မှတ်တိုင်,POINT (96.1778247 16.8345552),node/5767414193,
၁၆ ဂိတ် မှတ်တိုင်,POINT (96.0783159 17.1051592),node/4903203431,Inbound; inbound
၁၆ ဂိတ် မှတ်တိုင်,POINT (96.0784136 17.1053438),node/4903203432,Outbound; outbound
၁၉၉ မှတ်တိုင်,POINT (96.0850331 16.9317093),node/4849124380,East; northeast; south
၁၉၉ မှတ်တိုင်,POINT (96.0856315 16.9322475),node/4849124381,norhtwest; southwest; west
၁ရပ်ကွက် မှတ်တိုင်,POINT (96.1363047 17.0264211),node/4841297562,N; north
၁ရပ်ကွက် မှတ်တိုင်,POINT (96.1361682 17.0262385),node/4841297563,inbound; south
၂ ဂိတ် မှတ်တိုင်,POINT (96.115874 17.0657567),node/4903150905,Inbound; inbound
၂ ဂိတ် မှတ်တိုင်,POINT (96.1162027 17.0656497),node/4903150906,Outbound; outbound
၄ရပ်ကွက် မှတ်တိုင်,POINT (96.1386064 17.024299),node/4841303291,N; north
၄ရပ်ကွက် မှတ်တိုင်,POINT (96.1384812 17.0242032),node/4841303292,inbound; south
၅၆ မှတ်တိုင်(၅၉ ဂိတ်) မှတ်တိုင်,POINT (96.2538747 16.8551993),node/5903084548,outbound
၅၆ မှတ်တိုင်(၅၉ ဂိတ်) မှတ်တိုင်,POINT (96.2538498 16.8552129),node/5903091389,outbound
၈ သမ မှတ်တိုင်,POINT (96.1995326 16.8934805),node/4672343892,Southwest; inbound; north; outbound; south
၈ သမ မှတ်တိုင်,POINT (96.2006998 16.8930511),node/4868955334,Northeast; east; north; northeast; south
၈၁ ဂိတ် မှတ်တိုင်,POINT (96.0821002 16.95198),node/4918708479,north; northeast
၈၁ ဂိတ် မှတ်တိုင်,POINT (96.0820614 16.9519084),node/4918708480,Intbound; south; southwest
၈၂ မှတ်တိုင်,POINT (96.1197423 17.0551516),node/4877140053,Outbound; outbound
၈၂ မှတ်တိုင်,POINT (96.1195322 17.0551327),node/4877140054,Inbound; inbound
၉၁ ဂိတ် မှတ်တိုင်,POINT (96.0996065 17.0874193),node/4903160503,Inbound; inbound
၉၁ ဂိတ် မှတ်တိုင်,POINT (96.0997878 17.0875371),node/4903160504,Outbound; outbound
ကံ့ကော် အဆောင်ရှေ့ မှတ်တိုင်,POINT (96.2647542 16.7089934),node/4882655386,south
ကံ့ကော် အဆောင်ရှေ့ မှတ်တိုင်,POINT (96.2648233 16.7090486),node/4882655387,north
ကညန လိုင်စင်ရုံး မှတ်တိုင်,POINT (96.242643 16.8952251),node/4858999008,inbound; south
ကညန လိုင်စင်ရုံး မှတ်တိုင်,POINT (96.2427735 16.8951388),node/4859038190,north; outbound
ကဒစ် မှတ်တိုင်,POINT (96.2292391 17.1644405),node/4875396685,north
ကဒစ် မှတ်တိုင်,POINT (96.2290895 17.1644456),node/4875396686,south
ကနောင်ကွေ့ မှတ်တိုင်,POINT (96.2764972 16.8323485),node/4877198778,inbound
ကနောင်ကွေ့ မှတ်တိုင်,POINT (96.2766136 16.8323192),node/4877200971,outbound
ကန်သာယာ မှတ်တိုင်,POINT (96.1659648 16.9131467),node/4855073802,W
ကန်သာယာ မှတ်တိုင်,POINT (96.1660046 16.9130184),node/4855073803,E
ကန်သာယာ မှတ်တိုင်,POINT (96.165385 16.9132781),node/4846879744,N; east; north; northwest
ကန်သာယာ မှတ်တိုင်,POINT (96.1651927 16.9132787),node/4863204423,inbound; south; southeast
ကန်သာယာ မှတ်တိုင်,POINT (96.1007627 16.9501404),node/4873553473,east; north; southwest
ကန်သာယာ မှတ်တိုင်,POINT (96.1006478 16.9501267),node/4873553474,north; northeast; south; southeast; west
ကပရ မှတ်တိုင်,POINT (96.207548 16.8699488),node/4836223410,inbound; north; northeast; northwest; outbound; south; southeast
ကံမြင့် မှတ်တိုင်,POINT (96.4109218 16.7498344),node/4841112638,west
ကံမြင့် မှတ်တိုင်,POINT (96.4109315 16.7496218),node/4841112639,east
ကမာရွတ် မှတ်တိုင်,POINT (96.1205776 16.8400331),node/4836038121,north
ကမာရွတ် မှတ်တိုင်,POINT (96.1202505 16.8405287),node/4836038122,north; south
ကမ္ဘာအေး စာတိုက် မှတ်တိုင်,POINT (96.1552964 16.8616192),node/4847085723,E; Northeast; inbound; outbound; outboundinbound; south; southwest
ကမ္ဘာအေး စာတိုက် မှတ်တိုင်,POINT (96.1553294 16.8626821),node/4847085724,E; N; Outbound; Southwest; north; northeast; outbound; outboundinbound
ကမ္ဘာအေး ဘုရား မှတ်တိုင်,POINT (96.1561162 16.8582471),node/4847073202,Northeast; inbound; outbound; outboundinbound; south; southwest
ကမ္ဘာအေး ဘုရား မှတ်တိုင်,POINT (96.1566286 16.8568556),node/4847073203,E; N; Outbound; Southwest; north; northeast; outbound; outboundinbound
ကမ်းနားလမ်း မှတ်တိုင်,POINT (96.1219572 16.8124483),node/4846925130,E; Northeast; north; northwest; southeast; west
ကမ်းနားလမ်း မှတ်တိုင်,POINT (96.1218087 16.8125256),node/4846925131,E; Intbound; Southwest; south; southeast
ကျန်းမာရေး မှတ်တိုင်,POINT (96.1850329 16.9077124),node/4854997515,W
ကျန်းမာရေး မှတ်တိုင်,POINT (96.1849174 16.9076014),node/4854997516,E
ကျန်းမာရေး မှတ်တိုင်,POINT (96.1786496 16.891487),node/4848795320,northwest; outbound; south; southwest
ကျန်းမာရေး မှတ်တိုင်,POINT (96.1786925 16.8914132),node/4848809921,east; north; northeast; southeast
ကျန်းမာရေး မှတ်တိုင်,POINT (96.2330815 16.8563795),node/4863405521,outboundinbound; west
ကျန်းမာရေး မှတ်တိုင်,POINT (96.2330002 16.8561538),node/4863415895,east; outboundinbound
ကျန်းမာရေး မှတ်တိုင်,POINT (96.2046325 16.7962408),node/4840895487,E; east; south
ကျန်းမာရေး မှတ်တိုင်,POINT (96.204687 16.796628),node/4883143949,E; north; west
ကျွန်းကလေး မှတ်တိုင်,POINT (96.1926002 17.0839042),node/4873429317,east; outbound
